100652|102615
100653|102898
100654|102658
100655|102853
100656|102946
100657|102559
100658|102954
100659|102672
100660|102734
100661|102885
100662|102812
100663|102956
100664|102822
100665|102565
100666|102875
100667|102566
100668|102634
100669|102689
100670|102750
100671|102514
100672|102832
100673|102796
100674|102883
100675|102742
100676|102796
100677|102722
100678|102771
100679|102688
100680|102643
100681|102590
100682|102642
100683|102835
100684|102728
100685|102934
100686|102675
100687|102767
100688|102699
100689|102534
100690|102516
100691|102694
100692|102547
100693|102655
100694|102579
100695|102602
100696|102781
100697|102818
100698|102903
100699|102634
100700|102669
100701|102695
100702|102863
100703|102587
100704|102537
100705|102745
100706|102929
100707|102614
100708|102604
100709|102664
100710|102562
100711|102786
100712|102868
100713|102596
100714|102887
100715|102885
100716|102979
100717|102672
100718|102961
100719|102763
100720|102789
100721|102845
100722|102565
100723|102717
100724|102606
100725|102848
100726|102922
100727|102944
100728|102728
100729|102677
100730|102758
100731|102714
100732|102946
100733|102714
100734|102669
100735|102665
100736|102740
100737|102717
100738|102985
100739|102578
100740|102601
100741|102551
100742|102789
100743|102928
100744|102837
100745|102967
100746|102785
100747|102950
100748|102670
100749|102810
100750|102660
100751|102814
100752|102981
100753|102514
100754|102585
100755|102561
100756|102680
100757|102805
100758|102614
100759|102627
100760|102939
100761|102808
100762|102930
100763|102780
100764|102607
100765|102948
100766|102970
100767|102719
100768|102921
100769|102810
100770|102975
100771|102866
100772|102738
100773|102969
100774|102925
100775|102814
100776|102990
100777|102575
100778|102778
100779|102874
100780|102881
100781|102646
100782|102865
100783|102807
100784|102856
100785|102678
100786|102606
100787|102748
100788|102748
100789|102607
100790|102645
100791|102542
100792|102962
100793|102874
100794|102905
100795|102580
100796|102690
100797|102629
100798|102586
100799|102750
100800|102894
100801|102570
100802|102747
100803|102895
100804|102813
100805|102673
100806|102609
100807|102692
100808|102789
100809|102773
100810|102812
100811|102796
100812|102794
100813|102815
100814|102920
100815|102846
100816|102892
100817|102686
100818|102877
100819|102594
100820|102655
100821|102554
100822|102608
100823|102589
100824|102501
100825|102627
100826|102612
100827|102627
100828|102971
100829|102549
100830|102993
100831|102938
100832|102868
100833|102922
100834|102990
100835|102992
100836|102669
100837|102904
100838|102771
100839|102726
100840|102998
100841|102507
100842|102524
100843|102813
100844|102653
100845|102685
100846|102650
100847|102893
100848|102523
100849|102789
100850|102935
100851|102923
